一	1
偗	亻 少三 3 目
偘	亻 口 口 口
偙	亻 立无横 冖 巾
做	亻 十 口 攵
偛	亻 3 十 臼
停	亻 享字头 冖 1 2
偝	亻 2 二 匕 青字底
偞	亻 艹 1 6 木
偟	亻 3 日 王
偠	亻 覀 女
偡	亻 艹 三 八 6
偢	亻 3 木 火
偣	亻 立无横 1 日
偤	亻 丷 西无一 二
健	亻 聿三 举字底 5 4
偦	亻 5 龰 青字底
偧	亻 大 久二 4 久二 4
偨	亻 止 匕 木
偩	亻 负字头 目 八
偪	亻 1 口 田
偫	亻 彳 土 寸
偬	亻 勹 横两撇 4 心
偭	亻 丆 见二 临字旁 三
偮	亻 口 1 耳无一
偯	亻 享字头 3 6 水字边
偰	亻 三 2 刀 大
偱	亻 反字框 十 目
偲	亻 田 心
偳	亻 山 丆 冂 临字旁
側	亻 目 八 刂
偵	亻 卢字头 目 八
偶	亻 日 禺字底
偷	亻 亼 青字底 刂
偸	亻 3 4 1 青字底 巜
偹	亻 2 夂 田
偺	亻 夂 2 4 日
偻	亻 丷 木 女
偼	亻 卢字头 彐 龰
偽	亻 刀中 5 5 5 灬
偾	亻 十 艹 见二 人
偿	亻 龸 二 厶
傀	亻 卑六 6 厶
傁	亻 臼 2 又
傂	亻 反字框 虍 几
傃	亻 龶 幺 小
傄	亻 大 丷 目
傅	亻 1 青字底 2 4 寸
傆	亻 厂 3 日 小
傇	亻 艹 1 耳无一
傈	亻 覀 木
傉	亻 厂 二 6 水字边 寸
傊	亻 口 目 八
傋	亻 寒字腰 冂 里无日
傌	亻 馬字框 灬
傍	亻 立无横 冖 方
傎	亻 真
傏	亻 广 聿三 2 口
傐	亻 享字头 冂 口
傑	亻 久二 4 牙二 2 木
傒	亻 爫 幺 大
傓	亻 4 尸 习 习
傔	亻 丷 1 聿三 兼无䒑无彐
傕	亻 冖 亻 隹字边
傖	亻 亽 彐 3 口
傗	亻 亠 幺 田
傘	全字头 人 人 人 人 十
備	亻 龷 3 冂 举字底
傚	亻 六 乂 攵
傛	亻 宀 谷
傜	亻 爫 朱三 山
傝	亻 日 习 习
傞	亻 丷 1 夫三 丅 1
傟	亻 八 厶 习 习
傠	亻 言 寸
傡	亻 立无横 1 立无横 1
傢	亻 宀 1 豕省
傣	亻 三 人 2 率字腰
傤	亻 土 东二 毌无框 戈无一
傥	亻 龸 口 儿
傦	亻 骨字头 青字底
傧	亻 宀 丘 八
储	亻 讠 十 左字框 日
傩	亻 又 亻 隹字边
傪	亻 厶 厶 厶 全字头 彡
傫	亻 田 幺 小
催	亻 山 亻 隹字边
傭	亻 广 聿三 青字底 2
傮	亻 1 曲 日
傯	亻 3 见二 夂 1 心
傰	亻 山 月 月
傱	亻 彳 人 人 龰
傲	亻 敖字旁 攵
傳	亻 1 日 虫无口 寸
傴	亻 1 口 口 口 6
債	亻 龶 目 八
傶	亻 厂 上 小 戈无一
傷	亻 卧人 日 1 勹 横两撇
傸	亻 1 乂 乂 乂 乂 人
傹	亻 立无横 1 日 儿
傺	亻 久二 冬字底 5 4 二 小
傻	亻 3 见二 乂 1 八 夂
傼	亻 艹 1 口 夫
傽	亻 立无横 1 早
傾	亻 比字旁 丆 目 八
傿	亻 1 止 1 6 灬
僀	亻 左字框 临字旁 1 6 冖 巾
僁	亻 3 丷 木 心
僂	亻 衰字腰 口 2 女
僃	亻 艹 勹 冂 举字底
僄	亻 覀 二 小
僅	亻 艹 1 口 龶
僆	亻 1 車无一 辶
僇	亻 习 习 全字头 彡
僈	亻 日 罒 又
僉	亼 口 口 人 人
僊	亻 覀 大 巳
僋	亻 亽 5 目 八
僌	亻 1 車无一 攵
働	亻 千二 申 二 5 3
僎	亻 巳 巳 共
像	亻 象
僐	亻 丷 1 举字底 丷 1 口
僑	亻 夭 口 冂 口
僒	亻 宀 八 聿三 3 口
僓	亻 口 丄 目 八
僔	亻 丷 西无一 二 寸
僕	亻 业无横 1 丷 1 夫
僖	亻 士 口 丷 1 口
僗	亻 火 火 冖 5 3
僘	亻 尚字头 冂 口 攵
僙	亻 龷 由 八
僚	亻 大 丷 日 小
僛	亻 艹 三 八 欠
僜	亻 5 4 横两撇 4 1 口 丷 1
僝	亻 尸 5 子字底 5 子字底 5 子字底
僞	亻 爫 3 5 5 5 灬
僟	亻 幺 幺 1 戈无一
僠	亻 3 丷 木 田
僡	亻 1 日 虫无口 心
僢	亻 爫 冖 久二 4 牙二 2
僣	亻 夫 夫 日
僤	亻 口 口 日 十
僥	亻 土 土 土 1 儿
僦	亻 京 左字框 6 4
僧	亻 丷 曾字头无丷 日
僨	亻 十 艹 目 八
僩	亻 門字旁 門字边 月
僪	亻 5 4 矛无龴 冂 八 口
僫	亻 1 亞无二 1 心
僬	亻 亻 隹字边 灬
僭	亻 牙二 儿 牙二 儿 日
僮	亻 立无横 1 甲 二
僯	亻 丷 木 久二 4 牙二 2
僰	1 冂 木无横 1 冂 木无横 人
僱	亻 4 尸 亻 隹字边
僲	亻 覀 久二 4 牙二 2
僳	亻 覀 丷 木
僴	亻 門字旁 門字边 日
僵	亻 1 田 1 田 1
僶	亻 见二 1 1 2 6 黽左角 彐
僷	亻 艹 艹 1 6 木
僸	亻 木 木 二 小
價	亻 覀 目 八
僺	亻 口 口 口 木
僻	亻 辟字旁 辛
