一	1
𭓵	宀 艹 1 木
𭓶	宀 卢字头 早
𭓷	宀 止 少三 3
𭓸	宀 见二 1 冂 口
𭓹	宀 反字框 2 4 反字框 2 4
𭓺	宀 忄 未
𭓻	宀 氵 必
𭓼	宀 氵 土 厶
𭓽	宀 5 4 横两撇 4 山
𭓾	宀 二 儿 亠 乂
𭓿	宀 2 日 1 八
𭔀	宀 3 乂 4 横两撇 山
𭔁	宀 亻 日 大
𭔂	宀 立无横 厂 彡
𭔃	宀 立无横 1 口 2
𭔄	宀 尸 皿 2
𭔅	宀 女 丆 日
𭔆	宀 丆 目 夂
𭔇	宀 见二 三 尸 匕
𭔈	宀 见二 三 6 4 人
𭔉	宀 卑六 6 厶
𭔊	宀 八 日 儿 厶
𭔋	宀 忄 3 土 口
𭔌	宀 1 6 盥左角 日
𭔍	宀 卧人 6 5 亠 4 攵
𭔎	宀 3 丷 木 心
𭔏	宀 丩 丆 3 土 口
𭔐	宀 巛 日 木
𭔑	宀 2 二 匕 免
𭔒	宀 见二 三 3 扌 戈无一
𭔓	宀 亻 隹字边 灬
𭔔	宀 礻三 水字边 亠 3 6 水字边
𭔕	宀 丷 西无一 二 大
𭔖	宀 女 厂 甲 二
𭔗	宀 艹 目 心
𭔘	宀 丩 丆 日 3 龶
𭔙	宀 久二 冬字底 5 4 言
𭔚	宀 土 口 亻 水字边 辶
𭔛	宀 三 2 口 1 巛 丅 1
𭔜	宀 3 牜无丿 3 目 木
𭔝	宀 心 寒字腰 冂 里无日
𭔞	宀 心 皿 1 2 韦无二 6
𭔟	宀 王 王 目 八
𭔠	宀 三 2 口 宀 八 丅 1
𭔡	宀 3 十 1 戈无一 非
𭔢	宀 木 二 小 目 儿
𭔣	宀 艹 夭 口 冂 口
𭔤	宀 心 皿 1 2 乃 5 子字底
𭔥	宀 心 皿 1 2 1 6 灬
𭔦	宀 心 皿 1 2 夂 口
𭔧	宀 心 皿 2 亠 亻 夜下角
𭔨	宀 心 皿 1 2 3 木 女
𭔩	1 万无横 寸
𭔪	1 儿 6 寸
𭔫	丅 1 几 寸
𭔬	丩 久二 4 寸
𭔭	土 韦无二 6 寸
𭔮	上 下 寸
𭔯	久二 4 久二 4 寸
𭔰	1 口 丷 1 寸
𭔱	厂 民字框 飞无折 寸
𭔲	己 心 寸
𭔳	日 1 寸 韦无二 6
𭔴	阝 它 寸
𭔵	十 艹 土 寸
𭔶	艹 三 八 6 寸
𭔷	鱼省 儿 寸
𭔸	丷 1 口 土 寸
𭔹	艹 1 厶 土 寸
𭔺	亻 目 1 八 寸
𭔻	氵 4 艮 寸
𭔼	阝 4 艮 寸
𭔽	阝 见二 四横 八 寸
𭔾	业无横 1 口 土 寸
𭔿	八 覀无一 1 二 1 寸
𭕀	士 冖 1 口 丷 1 寸
𭕁	日 1 耳无一 又 寸
𭕂	见二 口 目 八 1 寸
𭕃	1 日 虫无口 寸 厂 土 土
𭕄	学字头
𭕅	小 及二 4
𭕆	尚字头 见二 人
𭕇	1 大 小
𭕈	尚字头 彐 1 2
𭕉	立无横 1 小
𭕊	小 亠 3 6 水字边
𭕋	礻三 4 勹 3 全字头 小
𭕌	小 立无横 1 日 心
𭕍	八 儿 干
𭕎	1 儿 田
𭕏	1 儿 日 勹 横两撇
𭕐	亠 日 1 左字框 6 4
𭕑	1 儿 田 1 3 6 3 4
𭕒	亠 日 小 左字框 6 4
𭕓	享字头 田 左字框 6 4
𭕔	尸 冂
𭕕	尸 本
𭕖	尸 左字框 又 4
𭕗	尸 匕 韦无二 6
𭕘	尸 目
𭕙	尸 扌 举字底
𭕚	尸 土 韦无二 6
𭕛	尸 口 虫无口
𭕜	尸 向
𭕝	尸 二 二 十
𭕞	尸 彳 攴
𭕟	尸 千二 七 韦无二 6
𭕠	尸 3 十 龷 1
𭕡	尸 二 人 牙二 2
𭕢	尸 4 土 亦字底
𭕣	尸 扌 句
𭕤	尸 目 八 刂
𭕥	尸 丆 目 夂
𭕦	日 定字底 尸 4
𭕧	尸 千二 七 亠 3 6 水字边
𭕨	尸 千二 七 夂 口
𭕩	尸 卑六 6 厶
𭕪	尸 3 㠯 1 巾
𭕫	尸 彳 土 龰
𭕬	尸 亠 乂 丷 1 举字底
𭕭	尸 二 口 禺字底
𭕮	尸 十 口 老
𭕯	尸 儿 二 二 丷 举字底
𭕰	尸 艹 二 冂 丷 1 十
𭕱	尸 匕 爫 幺 大
𭕲	牙二 2 3 攵 尸 千二 七
𭕳	尸 千二 七 刀 臼
𭕴	尸 言 亽 5 4
𭕵	尸 氵 覀 土
𭕶	尸 日 1 青字底 2 4 寸
𭕷	尸 扌 夭 口 冂 口
𭕸	尸 木 木 口 3 口
𭕹	尸 十 口 扌 全字头 干 口
𭕺	尸 千二 七 火 爫 日
𭕻	尸 十 口 亼 口 口 人 人
𭕼	尸 目 目 卑六 6 厶
𭕽	尸 十 口 扌 亼 口 口 人 人
𭕾	3 凵 丄
𭕿	3 凵 虫无口
𭖀	山 经右角
𭖁	山 三
𭖂	山 1 于无横
𭖃	山 久
𭖄	山 下
𭖅	山 厂 厶
𭖆	山 厂 5 6
𭖇	山 止
𭖈	山 四竖
𭖉	山 冖 儿
𭖊	冖 八 山
𭖋	山 瓦
𭖌	山 日 1
𭖍	山 见二 三
𭖎	山 3 丄 5
𭖏	山 人 土
𭖐	山 亠 巾
𭖑	山 必
𭖒	山 亠 土
𭖓	山 丷 1 十
𭖔	5 3 口 山
𭖕	山 1 王 6
𭖖	山 丆 日
𭖗	山 十 又 5 3
𭖘	山 左字框 2 土
𭖙	山 尚字头 1 儿
𭖚	山 久二 4 久二 4
𭖛	山 2 水字框 凵
𭖜	2 水字框 全字头 山
𭖝	山 女 5 子字底
𭖞	山 幺 幺
𭖟	山 大 辶
𭖠	山 土 勹 冫
𭖡	山 十 兄
𭖢	山 1 青字底 2 4
𭖣	山 冂 八 口
𭖤	山 反字框 二 巾
𭖥	山 夂 乔字底 二
𭖦	山 谷
𭖧	山 氵 王
𭖨	山 厶 八 夂
𭖩	山 土 丷 干
𭖪	山 龶 6 5 亠 4
𭖫	山 口 1 口 2
𭖬	山 日 3 廾
𭖭	山 卢字头 早
𭖮	山 3 延字心无撇 辶
𭖯	丘 山 大
𭖰	山 阝 它
𭖱	山 尸 十 口
𭖲	三竖 1 6 叚右角 全字头 山
𭖳	山 艹 二 欠
𭖴	山 罒 方
𭖵	山 田 比字旁 匕
𭖶	山 少三 3 目
𭖷	山 负字头 彐 心
𭖸	山 3 日 攵
𭖹	山 反字框 十 目
𭖺	山 亼 习 习
𭖻	山 3 彐 2 二 卩
𭖼	山 3 十 比字旁 匕 二
𭖽	3 木 火 山
𭖾	山 丷 王 儿 3
𭖿	山 忄 1 日 1
𭗀	山 扌 反字框 丅 口
𭗁	山 木 1 日 1
𭗂	山 冂 乂 尚字头 1 儿
𭗃	山 鳥省 山
𭗄	山 爫 幺 夂
𭗅	山 5 子字底 3 幺 小
𭗆	山 丷 1 八 皿
𭗇	山 士 5 1 口 寸
𭗈	山 老 目
𭗉	山 厂 戈无一 臣
𭗊	山 卢字头 二 大 欠
𭗋	山 小 亻 隹字边
𭗌	山 3 十 口 艹 二
𭗍	山 立无横 1 早
𭗎	鹿 山
𭗏	山 宀 必 山
𭗐	山 5 1 耳无一 攵
𭗑	山 尸 雨
𭗒	山 彳 歹 攵
𭗓	山 彳 王 攵
𭗔	山 木 亻 隹字边
𭗕	山 厂 丅 1 耳无一 又
𭗖	山 士 口 丷 1 口
𭗗	山 艹 冖 幺 小
𭗘	山 业无横 1 丷 1 夫
𭗙	山 人 人 2 厂 目
𭗚	山 亻 1 青字底 2 4 寸
𭗛	山 爫 3 5 5 5 灬
𭗜	山 幺 横三点 负字头 巴三 6
𭗝	山 亻 隹字边 辶
𭗞	山 广 田 青字底
𭗟	山 1 日 乂 六 乂
𭗠	山 十 早 全字头 干
𭗡	山 艹 土 厶 皿
𭗢	山 犭二 3 言 犬
𭗣	山 皮 丆 目 八
𭗤	山 土 口 亻 水字边 辶
𭗥	山 覀 大 巳 辶
𭗦	山 扌 亠 厶 艹 未
𭗧	山 厂 干 爫 臼
𭗨	山 土 非 1 戈无一
𭗩	山 虍 丘 八 1 6
𭗪	山 3 木 卑六 6 厶
𭗫	山 尸 彳 卧人 日 夂
𭗬	山 艹 1 口 2 二 匕 灬
𭗭	山 口 口 1 临字旁 二 1 攵
𭗮	山 日 雨头 二 厶
𭗯	山 彳 鱼省 大 二 2
𭗰	山 冫 匕 卧人 大 5 4 5 龰
𭗱	阝 左字框 丅 1 青字底 辶 山
𭗲	山 虍 1 口 丷 1 1 戈无一
𭗳	山 艹 辟字旁 辛
𭗴	山 鱼省 灬 丷 1 举字底
𭗵	山 1 耳无一 1 耳无一 1 耳无一
𭗶	山 艹 厂 6 丆 臣 戈无一
𭗷	山 凵 十 厂 5 1 耳无一 攵
𭗸	山 真 真
𭗹	山 免 免 免
𭗺	巛 七
𭗻	1 荒字底 5 1
𭗼	巛 山
𭗽	巛 1 大
𭗾	巛 乂 凵
𭗿	巛 卢字头 久二 4
𭘀	冫 2 冫 2 冫 2
𭘁	厶 八 夂 巛
𭘂	5 丅 1
𭘃	丅 1 下
𭘄	丅 1 1 儿
𭘅	丅 1 勺
𭘆	王 人 人
𭘇	丅 1 夂 口
𭘈	1 叚右角 6 亽 5
𭘉	左字框 丅 1 臼 儿
𭘊	丷 厂 巳
𭘋	由 巳
𭘌	由 巳
𭘍	臣 己
𭘎	丅 1 共 5 6
𭘏	巴三 6 扌 立无横 1
𭘐	立无横 1 青字底 巳 共
𭘑	反字框 1 巾
𭘒	彐 巾
𭘓	巾 无
𭘔	巾 卧人 十
𭘕	巾 未
𭘖	巾 十 口
𭘗	巾 见二 又 1
𭘘	巾 亽 5 4
𭘙	巾 它
𭘚	巾 厶 口
𭘛	巾 厂 火
𭘜	巾 尚字头 1 儿
𭘝	巾 宀 3 七
𭘞	巾 夂 口
𭘟	左字框 巾 6 3 又 4
𭘠	巾 目 儿
𭘡	巾 口 王
𭘢	3 木 刂 巾
𭘣	丅 5 1 口 巾
𭘤	巾 丷 王 几
𭘥	巾 巛 见二 乂 1
𭘦	巾 巛 田
𭘧	艹 1 凵 冖 巾
𭘨	左字框 巾 丷 弓 2 3
𭘩	巾 日 1 勹 横两撇
𭘪	巾 田 青字底
𭘫	巾 3 日 勹 横两撇
𭘬	立无横 冖 巾 韦无二 6
𭘭	巾 享字头 冖 1 2
𭘮	巾 5 1 2 口 巾
𭘯	左字框 巾 月 月
𭘰	巾 1 青字底 2 4 寸
𭘱	巾 骨字头 青字底
𭘲	巾 艹 1 龷 十
𭘳	立无横 冖 巾 1 3 6 3 4
𭘴	巾 礻三 水字边 皮
𭘵	巾 口 丄 目 八
𭘶	巾 虍 1 豕省
𭘷	艹 句 攵 巾
𭘸	3 日 巾 3 日 巾
𭘹	左字框 巾 艹 氵 夂 口
𭘺	丷 1 八 皿 彐 冖 巾
𭘻	巾 宀 5 4 横两撇 4 1 口 丷 1
𭘼	巾 见二 人 5 4 横两撇 4 1 口 丷 1
𭘽	立无横 冖 巾 1 八 巾 乂 乂 乂 乂
𭘾	卧人 二 十
𭘿	干 土 厶
𭙀	干 卢字头 口
𭙁	1 丷 十 亠 乂
𭙂	年 比字旁 匕
𭙃	干 4 艮
𭙄	年 立无横 1 口
𭙅	年 卑
𭙆	卑 年
𭙇	丷 开 丷 曾字头无丷 日
𭙈	幺 5
𭙉	5 幺
𭙊	幺 1 2
𭙋	幺 勹 冫
𭙌	幺 幺 1 6 6
𭙍	广 几
𭙎	广 又
𭙏	广 5 2
𭙐	广 卧人 5
𭙑	广 4 冬字底
𭙒	广 5 子字底
𭙓	广 左字框 6 4
𭙔	广 殳
𭙕	广 手
𭙖	广 夭
𭙗	广 弓 1
𭙘	广 见二 大
𭙙	广 彐 6 3
𭙚	广 1 弓 人
𭙛	广 尚字头 1 儿
𭙜	广 1 日 乂
𭙝	广 卧人 6 5 亠 4
𭙞	广 亽 5 口
𭙟	广 人 人 大
𭙠	广 彳 殳
𭙡	广 5 4 冂 举字底
𭙢	广 臼 儿
𭙣	广 3 十 龷 1
𭙤	广 士 口 丷 1
𭙥	广 1 由 寸
𭙦	广 卧人 日 夂
𭙧	广 彐 2 勹 横两撇 4
𭙨	广 1 彐 卢字头 辶
𭙩	广 3 舟无撇 殳
𭙪	广 印字旁 6 4 6 4 人
𭙫	广 丷 1 十 民字框 飞无折
𭙬	广 丷 三 儿 厶
𭙭	广 丷 1 夫三 丅 1
𭙮	广 比字旁 匕 言
𭙯	广 龷 目 八
𭙰	广 士 口 业无横 1
𭙱	广 尚字头 青字底 攵
𭙲	广 亻 隹字边 口
𭙳	广 亻 隹字边 土
𭙴	广 口 口 日 十
𭙵	广 日 青字底 犬
𭙶	广 亻 隹字边 青字底
𭙷	广 彳 卧人 日 夂
𭙸	广 丷 木 久二 4 牙二 2
𭙹	广 阝 夂 1 3 龶
𭙺	广 艹 1 凵 冖 巾
𭙻	广 歹 刂 亠 3 6 水字边
𭙼	广 臣 巳 灬
𭙽	广 木 木 土 厶
𭙾	广 十 罒 亠 3 6 水字边
𭙿	广 艹 日 禺字底
𭚀	广 2 二 匕 又 又 丄 又
𭚁	广 千二 申 二 3 6 3 4
𭚂	广 立无横 1 青字底 匕 匕
𭚃	广 尸 亻 3 6 3 4 日
𭚄	广 3 木 3 木 心
𭚅	广 木 乂 乂 木 女
𭚆	广 黑五 里无日 灬 阝
𭚇	广 3 木 3 木 丆 口
𭚈	广 1 丆 日 丆 日 人
𭚉	广 木 木 见二 人 青字底
𭚊	广 2 二 匕 鳥省 灬
𭚋	广 日 青字底 犬 手
𭚌	广 甲 二 灬 阝 土
𭚍	广 敖字旁 攵 目 八
𭚎	广 丷 1 举字底 丷 1 夫三 丷 1 举字底
𭚏	广 1 車无一 口 虫无口 口 虫无口
𭚐	广 日 青字底 犬 甲 二
𭚑	广 亻 亻 隹字边 亠 临字旁 二 冂 口
𭚒	1 6 横两点 5 4
𭚓	3 6 3 4 5 4
𭚔	三 2 5 4
𭚕	3 龶 5 4
𭚖	3 㠯 廾
𭚗	王 刀 廾 4
𭚘	3 龶 刀 廾
𭚙	王 廾 尚字头 1 儿
𭚚	竹头 亻 寸 廾
𭚛	王 廾 3 日 2 水字框
𭚜	口 馬字框 灬 廾
𭚝	口 止 3 目 艹
𭚞	厶 廾 爫 罒 即字旁 寸
𭚟	1 1 1 6 4
𭚠	1 6 4 人
𭚡	1 6 4 叚右角
𭚢	土 八 夂 1 6 4
𭚣	1 6 4 1 业无横 1 日
𭚤	1 6 二 小 1 丅 1 6 4
𭚥	4 5
𭚦	弓 广
𭚧	弓 殳
𭚨	1 6 弓 5 3
𭚩	弓 艹 二
𭚪	弓 斥
𭚫	弓 全字头 彡
𭚬	弓 士 口
𭚭	弓 2 尸 匕
𭚮	弓 久二 4 口
𭚯	女 口 弓
𭚰	弓 习 习
𭚱	弓 山 亠 乂
𭚲	弓 见二 木 1
𭚳	弓 卧人 冂 里无日
𭚴	弓 宀 左字框 厶
𭚵	弓 女 少三 3
𭚶	弓 1 丷 青字底 2
𭚷	弓 口 日 6
𭚸	弓 卧人 口 虫无口
𭚹	弓 卧人 口 2 凵
𭚺	弓 十 冖 5 子字底 5 3
𭚻	弓 丆 目 八
𭚼	弓 口 口 2 凵
𭚽	弓 3 田 3 十
𭚾	丷 弓 2 3 亽 5 4
𭚿	弓 丷 1 青字底 刂
𭛀	弓 尸 1 厶 土
𭛁	业无横 1 弓 攵
𭛂	弓 十 冖 5 子字底 弓
𭛃	弓 丷 1 八 皿
𭛄	弓 卢字头 5 3 又 3 青字底
𭛅	弓 1 巾 乂 乂 乂 乂
𭛆	弓 夫 夫 日
𭛇	弓 冫 弓 冫 周字框 举字底
𭛈	弓 亠 回 见二 三
𭛉	弓 丷 1 豕省 辶
𭛊	丷 弓 2 3 宀 1 豕省
𭛋	目 八 目 八 弓
𭛌	弓 冫 1 田 1 田 1
𭛍	彐 卬字旁 3 卩
𭛎	彐 尸 匕
𭛏	6 5 1 口 丷 1
𭛐	彐 亠 人 人 十
𭛑	6 5 1 田 全字头 乔字底
𭛒	彐 冖 1 車无一
𭛓	周字框 举字底 彡
𭛔	厂 3 日 小 彡
𭛕	2 彡 4 4 4 冂 四竖
𭛖	临字旁 彡 三 冂 四竖
𭛗	彡 彡 木 木
𭛘	巛 日 木 彡
𭛙	艹 日 木 彡
𭛚	虍 业无横 1 彡
𭛛	立无横 厂 彡 卧人 日
𭛜	彳 3 十
𭛝	彳 5 丄
𭛞	彳 5 4 5 2
𭛟	彳 土 厶
𭛠	彳 口 又
𭛡	彳 冂 口
𭛢	彳 见二 人 1
𭛣	彳 丷 1 乂
𭛤	彳 刀 口
𭛥	彳 5 3 口
𭛦	彳 3 4 5 4
𭛧	彳 三 木无横
𭛨	彳 冫 欠
𭛩	彳 王 八
𭛪	彳 厂 目
𭛫	彳 十 冖 5 子字底
𭛬	彳 口 龰
𭛭	彳 3 幺 小
𭛮	彳 宀 4 5 4
𭛯	彳 龶 青字底
𭛰	彳 二 2 土 厶
𭛱	彳 丆 回
𭛲	彳 日 厂 又
𭛳	彳 爫 夫
𭛴	彳 亼 冂 艹
𭛵	彳 京
𭛶	彳 又 又 又 又
𭛷	彳 1 口 田
𭛸	彳 三 2 刀 大
𭛹	彳 2 攵 木
𭛺	彳 虍 巾
𭛻	彳 3 木 火
𭛼	彳 丷 丆 目
𭛽	彳 丷 1 八 皿
𭛾	彳 于无横 率字腰 4 攵
𭛿	彳 卧人 6 5 亠 4 攵
𭜀	彳 千二 申 二 5 3
𭜁	彳 龷 日 攵
𭜂	彳 尚字头 冂 口 攵
𭜃	彳 火 火 冖 5 3
𭜄	彳 5 4 横两撇 4 弓 殳
𭜅	彳 人 人 龰 口 2
𭜆	彳 艹 艹 1 6 木
𭜇	彳 卧人 1 延字心无撇 久二 4 口
𭜈	彳 立无横 1 青字底 攵
𭜉	彳 广 龷 由 八
𭜊	彳 3 土 口 丆 目 八
𭜋	二 6 心
𭜌	忄 1 万无横
𭜍	么 心
𭜎	二 6 心
𭜏	忄 左字框 匕
𭜐	忄 丅 5 1
𭜑	龷 心
𭜒	忄 厂 5 6
𭜓	1 口 心
𭜔	忄 厂 人
𭜕	忄 开
𭜖	忄 3 6 2 3
𭜗	忄 周字框 亠
𭜘	亠 厶 心
𭜙	土 八 小 4
𭜚	忄 1 6 4 冫
𭜛	忄 皿
𭜜	忄 目
𭜝	业无横 1 心
𭜞	忄 3 左字框 又
𭜟	忄 卧人 大
𭜠	忄 亻 大
𭜡	忄 广 厶
𭜢	忄 厶 廾
𭜣	卧人 彐 心
𭜤	卧人 叚右角 2 心
𭜥	久二 4 化字边 心
𭜦	二 口 心
𭜧	丷 土 心
𭜨	歹 匕 心
𭜩	1 日 1 心
𭜪	见二 1 夂 心
𭜫	口 虫无口 心
𭜬	忄 早
𭜭	忄 勹 亠 乂
𭜮	丷 夫 小 4
𭜯	冫 2 水字框 心
𭜰	宀 夂 心
𭜱	忄 卧人 大 6
𭜲	忄 十 冖 5 3
𭜳	丅 1 6 二 心
𭜴	忄 刀 刀 刀
𭜵	彐 彐 心
𭜶	土 口 1 心
𭜷	木 巳 心
𭜸	忄 十 左字框 5 子字底
𭜹	丅 1 勹 横两撇 心
𭜺	牙二 2 3 阝 心
𭜻	忄 扌 反字框 丅
𭜼	忄 目 八
𭜽	忄 田 5 3
𭜾	忄 丘 八
𭜿	忄 3 日 1 6
𭝀	忄 印字旁 6 巾
𭝁	彳 方 心
𭝂	忄 爫 5 子字底
𭝃	忄 冖 八 干
𭝄	忄 宀 八 3 5
𭝅	忄 辛
𭝆	女 欠 心
𭝇	女 八 刀 心
𭝈	忄 聿三 3 口
𭝉	丝左角 1 1 凵 6 心
𭝊	彐 火 心
𭝋	忄 彐 火
𭝌	夫 亽 5 心
𭝍	大 二 小 心
𭝎	忄 大 二 小
𭝏	忄 1 巾 3 4 3 4
𭝐	忄 1 6 3 舟无撇
𭝑	忄 日 木
𭝒	尚字头 冂 口 心
𭝓	日 勹 横两撇 心
𭝔	忄 见二 三 韦无二 6
𭝕	忄 亼 口 卩
𭝖	彳 弓 乔字底 心
𭝗	忄 八 刀 心
𭝘	礻三 水字边 刀 心
𭝙	氵 皮 心
𭝚	忄 亠 乂 乔字底 二
𭝛	宀 二 小 心
𭝜	宀 八 举字底 心
𭝝	5 1 口 士 心
𭝞	忄 5 大 1 戈无一
𭝟	忄 尸 十 口
𭝠	十 人 人 人 小 4
𭝡	厂 日 5 子字底 心
𭝢	三 3 3 三 2 心
𭝣	忄 左字框 青字底 阝
𭝤	1 耳无一 阝 心
𭝥	1 口 木无横 刂 心
𭝦	木 亠 土 心
𭝧	忄 土 1 日 1
𭝨	臣 巳 心
𭝩	忄 艹 十 口
𭝪	忄 艹 久二 4 5 6
𭝫	口 艮 心
𭝬	忄 虍 虐字底
𭝭	忄 久二 4 5 6 心
𭝮	彳 艮 心
𭝯	亽 5 心 本
𭝰	忄 3 冂 人 比字旁 匕
𭝱	亻 口 木 心
𭝲	亻 2 丷 木 心
𭝳	忄 乃 乂 皿
𭝴	氵 3 十 口 心
𭝵	享字头 冖 1 2 心
𭝶	亻 夂 火 心
𭝷	忄 大 日 小
𭝸	丆 日 殳 心
𭝹	忄 左字框 6 久二 冬字底 寸
𭝺	忄 三 人 二 小
𭝻	忄 十 冖 幺 小
𭝼	忄 丆 冂 临字旁 心
𭝽	忄 回 辶
𭝾	见二 人 1 皿 心
𭝿	忄 日 土 寸
𭞀	爫 艮 心
𭞁	彳 丷 1 龰 心
𭞂	亻 2 攵 刃 心
𭞃	彳 亼 朩 心
𭞄	忄 爫 冖 左字框 又
𭞅	忄 丷 1 大 辶
𭞆	忄 六 乂 攵
𭞇	享字头 冖 1 2 必
𭞈	5 丄 口 牙二 2 心
𭞉	女 丸 木 心
𭞊	尸 1 火 又 心
𭞋	忄 覀 心
𭞌	冖 尸 罒 心
𭞍	艹 二 3 十 口 心
𭞎	忄 二 目 八 6 4
𭞏	臣 厶 口 心
𭞐	丅 彐 3 田 心
𭞑	1 青字底 2 4 攵 心
𭞒	忄 厂 1 尸 冂 艹
𭞓	扌 亻 隹字边 心
𭞔	1 业无横 1 心 出
𭞕	日 见二 三 5 3 心
𭞖	忄 艹 即字旁 卩
𭞗	卢字头 二 大 欠 心
𭞘	日 日 大 心
𭞙	忄 日 皿 5 3
𭞚	忄 虍 夂 几
𭞛	忄 日 见二 三 5 3
𭞜	忄 少三 3 日 小
𭞝	亻 2 条 心
𭞞	忄 卧人 1 亻 隹字边
𭞟	忄 竹头 弓 2 3
𭞠	卧人 6 5 毌无框 殳 心
𭞡	忄 立无横 冂 八 口
𭞢	冫 亼 朩 人 小 4
𭞣	忄 立无横 冂 十 口
𭞤	5 4 矛无龴 夂 5 3 心
𭞥	忄 丅 彐 3 勹 横两撇 4
𭞦	1 日 口 牙二 儿 心
𭞧	1 冂 木无横 1 冂 木无横 心
𭞨	厂 屰 月 心
𭞩	忄 艹 口 冖 青字底
𭞪	忄 1 亞无二 1 心
𭞫	土 丷 干 攵 心
𭞬	忄 1 2 1 6 6 1 2 田
𭞭	忄 厂 1 口 丷 1 寸
𭞮	日 1 耳无一 又 心
𭞯	忄 口 止 1 叚右角 6
𭞰	忄 艹 亠 6 目
𭞱	艹 左字框 口 心 韦无二 6
𭞲	小 冂 口 殳 心
𭞳	日 京 心
𭞴	忄 业无横 1 丷 1 夫
𭞵	忄 丷 西无一 二 寸
𭞶	忄 亽 彐 3 口 刂
𭞷	忄 亻 隹字边 辶
𭞸	氵 立无横 冖 巾 心
𭞹	忄 龷 亻 隹字边
𭞺	忄 臣 巳 灬
𭞻	忄 左字框 丅 1 青字底 辶
𭞼	忄 覀 目 八
𭞽	忄 日 罒 心
𭞾	忄 业无横 冖 1 豕省
𭞿	勹 横两撇 心 卧人 日 夂
𭟀	丷 木 卢字头 口 人 小 4
𭟁	忄 亠 乂 冖 目 儿
𭟂	丷 西无一 二 犬 心
𭟃	忄 宀 儿 亻 隹字边
𭟄	言 幺 幺 心
𭟅	忄 覀 二 小 寸
𭟆	忄 艹 日 冖 目
𭟇	忄 艹 亽 彐 3 口
𭟈	忄 艹 见二 人 厂 4 戈无一
𭟉	忄 門字旁 門字边 夂 口
𭟊	忄 4 尸 巛 口 巴三 6
𭟋	宀 心 皿 1 2 心
𭟌	氵 1 車无一 反字框 丅 心
𭟍	忄 厂 上 小 戈无一 心
𭟎	忄 夫 夫 目 八
𭟏	臣 丆 目 八 心
𭟐	忄 士 罒 目 八
𭟑	忄 覀 龵 目
𭟒	忄 艹 日 大 日
𭟓	忄 黑五 里无日 灬 土
𭟔	虍 丘 欠 心
𭟕	氵 5 4 横两撇 4 1 口 丷 1 心
𭟖	忄 亠 临字旁 二 冖 1 豕省
𭟗	忄 立无横 冂 十 口 攵
𭟘	忄 雨头 龵 月
𭟙	忄 雨头 亻 隹字边
𭟚	龸 口 黑五 里无日 心
𭟛	甲 二 立无横 1 日 心
𭟜	田 心 口 口 2 心
𭟝	心 龶 青字底 爫 聿三 2
𭟞	忄 立无横 1 口 2 口 心
𭟟	罒 土 丷 干 攵 心
𭟠	亼 口 口 人 人 攵 心
𭟡	火 口 口 口 木 心
𭟢	疒 日 青字底 犬 心
𭟣	忄 厂 上 小 戈无一 口 龰
𭟤	忄 艹 罒 冖 八 目
𭟥	忄 門字旁 門字边 山 1 口 丷 1
𭟦	亠 人 人 朩 亻 隹字边 心
𭟧	忄 覀 革 月
𭟨	忄 目 目 亻 隹字边 二 2
𭟩	忄 亻 隹字边 亻 隹字边 久二 冬字底 5 4
𭟪	立无横 1 早 匕 目 6 八 心
𭟫	忄 1 日 虫无口 寸 鳥省 灬
𭟬	忄 竹头 立无横 1 青字底 龍字边
𭟭	忄 卝 罒 冖 5 4 横两撇 4 1 口 丷 1
𭟮	1 戈无一 1
𭟯	土 1 戈无一
𭟰	1 戈无一 止
𭟱	丷 厂 1 戈无一
𭟲	人 人 1 戈无一
𭟳	冂 口 1 戈无一
𭟴	1 戈无一 上 日
𭟵	1 戈无一 角
𭟶	口 6 青字底 6 3 4
𭟷	5 4 5 4 二 小 1 戈无一
𭟸	1 6 二 小 厂 戈无一 人
𭟹	丷 1 戈无一 冫 2 㠯
𭟺	1 幺 幺 1 戈无一 日
𭟻	1 戈无一 口 1 口 3 土
𭟼	虍 丘 1 戈无一
𭟽	丷 1 举字底 丷 1 口 1 戈无一
𭟾	丅 彐 3 1 口 丷 1 1 戈无一
𭟿	反字框 叚右角 5
𭠀	反字框 叚右角 丅 1
𭠁	4 尸 六
𭠂	反字框 叚右角 5 口
𭠃	反字框 叚右角 左字框 又 4
𭠄	反字框 叚右角 十 口
𭠅	4 尸 3 左字框 又
𭠆	反字框 叚右角 勹 巳
𭠇	反字框 叚右角 口 田
𭠈	4 尸 方 方
𭠉	反字框 叚右角 亽 5 4 山
𭠊	4 尸 习 习 皮
𭠋	4 尸 习 习 乂 朩
𭠌	4 尸 冂 艹 覀 大 巳 辶
𭠍	1 ​戈​无亠
𭠎	扌 又
𭠏	手 下
𭠐	扌 亥无亠无人 6
𭠑	扌 大 1
𭠒	扌 3 6 2 3
𭠓	手 八 刀
𭠔	手 亽 5
𭠕	手 卧人 十
𭠖	手 5 里无日
𭠗	扌 左字框 口
𭠘	扌 口 又
𭠙	扌 业无横 1
𭠚	扌 殳 5
𭠛	扌 人 干
𭠜	扌 人 土
𭠝	扌 勹 人 6
𭠞	手 幺 5 3
𭠟	扌 5 1 口
𭠠	1 夫三 三 2 4
𭠡	扌 丷 口
𭠢	扌 1 2 二 厶
𭠣	扌 1 冂 里无日
